Species_abbr	Species_class	Name	Total_Genes	KEGG	Reactome	Biocyc	Panther	GO	Genes_with_KEGG_annotation	Genes_with_Reactome_annotation	Genes_with_BioCyc_aanotation	Genes_with_Panther_annotation	Genes_with_GO_annotation
aaxa	Bacteria	Acholeplasma axanthum	1755	75	0	0	0	0	453	0	0	0	0
seds	Bacteria	Sedimenticola thiotaurini	3663	107	0	0	0	0	1181	0	0	0	0
sedi	Bacteria	Sedimentitalea sp. W43	4932	114	0	0	0	0	1455	0	0	0	0
fis	Bacteria	Fischerella sp. NIES-3754	4996	117	0	0	0	0	1149	0	0	0	0
fiy	Bacteria	Candidatus Filomicrobium marinum Y	4112	113	0	0	0	0	1087	0	0	0	0
fib	Bacteria	Fibrella sp. ES10-3-2-2	5137	118	0	0	0	0	979	0	0	0	0
fia	Bacteria	Fervidobacterium islandicum	2089	92	0	0	0	0	669	0	0	0	0
fin	Bacteria	Flavobacterium indicum	2790	105	0	0	0	0	694	0	0	0	0
fil	Bacteria	Candidatus Filomicrobium marinum W	4126	113	0	0	0	0	1088	0	0	0	0
mdh	Bacteria	Methylomonas sp. DH-1	4543	109	0	0	0	0	1130	0	0	0	0
mdi	Bacteria	Methylorubrum extorquens DM4	6035	120	0	0	0	0	1411	0	0	0	0
mdn	Bacteria	Methylomonas denitrificans	4724	110	0	0	0	0	1191	0	0	0	0
mdo	Animals	Monodelphis domestica (opossum)	33141	329	0	0	106	6382	7502	0	0	344	7808
mdl	Animals	Microplitis demolitor	12624	135	0	0	0	0	2778	0	0	0	0
mdm	Plants	Malus domestica (apple)	41285	137	0	0	0	0	6345	0	0	0	0
mde	Animals	Musca domestica (house fly)	16407	136	0	0	0	0	3098	0	0	0	0
mdx	Bacteria	Mycobacterium dioxanotrophicus	7781	131	0	0	0	0	1656	0	0	0	0
mds	Bacteria	Mycoplasma dispar	777	46	0	0	0	0	273	0	0	0	0
mdv	Bacteria	Mogibacterium diversum	1719	75	0	0	0	0	460	0	0	0	0
dgg	Bacteria	Desulfovibrio gigas	3444	100	0	0	0	0	986	0	0	0	0
smz	Bacteria	Stenotrophomonas maltophilia D457	4239	120	0	0	0	0	1201	0	0	0	0
smy	Bacteria	Sphingomonas melonis	3881	120	0	0	0	0	1048	0	0	0	0
smx	Bacteria	Sinorhizobium meliloti SM11	7156	122	0	0	0	0	2031	0	0	0	0
smw	Bacteria	Serratia marcescens WW4	4922	121	0	0	0	0	1738	0	0	0	0
smv	Bacteria	Candidatus Sulcia muelleri Sulcia-ALF	225	33	0	0	0	0	167	0	0	0	0
smu	Bacteria	Streptococcus mutans UA159 (serotype c)	2042	98	0	0	0	0	770	0	0	0	0
dsu	Bacteria	Azospira oryzae	3538	113	0	0	0	0	1151	0	0	0	0
sms	Bacteria	Candidatus Sulcia muelleri SMDSEM	279	41	0	0	0	0	200	0	0	0	0
smr	Archaea	Staphylothermus marinus	1646	84	0	0	0	0	467	0	0	0	0
smq	Bacteria	Sinorhizobium meliloti BL225C	6776	122	0	0	0	0	1998	0	0	0	0
dsq	Fungi	Dichomitus squalens	12287	118	0	0	0	0	2001	0	0	0	0
smo	Plants	Selaginella moellendorffii	34748	133	0	0	0	617	6683	0	0	0	945
smn	Bacteria	Streptococcus macedonicus	2297	93	0	0	0	0	754	0	0	0	0
dsl	Bacteria	Dactylococcopsis salina	3684	104	0	0	0	0	918	0	0	0	0
sml	Bacteria	Stenotrophomonas maltophilia K279a	4440	120	0	0	0	0	1105	0	0	0	0
smk	Bacteria	Sinorhizobium meliloti AK83	7030	122	0	0	0	0	1977	0	0	0	0
smj	Bacteria	Streptococcus mutans LJ23 (serotype k)	2005	98	0	0	0	0	777	0	0	0	0
smi	Bacteria	Sinorhizobium meliloti Rm41	6908	123	0	0	0	0	2147	0	0	0	0
smh	Bacteria	Candidatus Sulcia muelleri DMIN	261	41	0	0	0	0	186	0	0	0	0
smg	Bacteria	Candidatus Sulcia muelleri GWSS	264	41	0	0	0	0	189	0	0	0	0
smf	Bacteria	Streptobacillus moniliformis	1568	81	0	0	0	0	532	0	0	0	0
sme	Bacteria	Sinorhizobium meliloti 1021	6292	122	0	0	0	0	1950	0	0	0	0
dse	Animals	Drosophila sechellia	16859	136	0	0	0	0	3126	0	0	0	0
smc	Bacteria	Streptococcus mutans NN2025 (serotype c)	1975	97	0	0	0	0	762	0	0	0	0
smb	Bacteria	Streptococcus mitis	2096	85	0	0	0	0	709	0	0	0	0
sma	Bacteria	Streptomyces avermitilis	7773	131	0	0	0	0	1581	0	0	0	0
dsa	Bacteria	Desulfovibrio salexigens	3941	105	0	0	0	0	1142	0	0	0	0
dgi	Bacteria	Desulfallas gibsoniae	4755	107	0	0	0	0	1164	0	0	0	0
ctes	Bacteria	Comamonas testosteroni TK102	5741	124	0	0	0	0	1625	0	0	0	0
dgo	Bacteria	Deinococcus gobiensis	4465	107	0	0	0	0	1065	0	0	0	0
lxx	Bacteria	Leifsonia xyli subsp. xyli CTCB07	2376	105	0	0	0	0	685	0	0	0	0
atf	Bacteria	Agrobacterium tumefaciens Ach5	5357	123	0	0	0	0	1832	0	0	0	0
sys	Bacteria	Synechocystis sp. PCC 6803 PCC-N	3218	114	0	0	0	0	1006	0	0	0	0
ate	Bacteria	Caldicellulosiruptor bescii	2836	98	0	0	0	0	769	0	0	0	0
ata	Bacteria	Agrobacterium tumefaciens S33	5141	123	0	0	0	0	1735	0	0	0	0
ato	Bacteria	Acetobacter tropicalis	3790	114	0	0	0	0	1004	0	0	0	0
atm	Bacteria	Anaerolinea thermophila	3236	104	0	0	0	0	827	0	0	0	0
ath	Plants	Arabidopsis thaliana (thale cress)	32718	137	0	572	127	7160	5011	0	2094	697	24409
ati	Bacteria	Azospirillum thiophilum	6620	123	0	0	0	0	1982	0	0	0	0
atw	Bacteria	Azoarcus sp. SY39	3161	114	0	0	0	0	1008	0	0	0	0
att	Bacteria	Acinetobacter sp. TTH0-4	2854	116	0	0	0	0	911	0	0	0	0
atu	Bacteria	Agrobacterium fabrum	5459	121	0	343	0	0	1786	0	710	0	0
atr	Plants	Amborella trichopoda	18428	135	0	0	0	0	3757	0	0	0	0
ats	Plants	Aegilops tauschii (wheat D)	49271	137	0	0	0	0	6189	0	0	0	0
kfv	Bacteria	Kocuria flava	3253	112	0	0	0	0	951	0	0	0	0
kfl	Bacteria	Kribbella flavida	7149	124	0	0	0	0	1391	0	0	0	0
xii	Bacteria	Candidatus Xiphinematobacter sp. Idaho Grape	866	83	0	0	0	0	433	0	0	0	0
rci	Archaea	Methanocella arvoryzae	3163	93	0	0	0	0	756	0	0	0	0
nzs	Bacteria	Strawberry lethal yellows phytoplasma (CPA) NZSb11	1157	42	0	0	0	0	298	0	0	0	0
apre	Bacteria	Actinosynnema pretiosum	7017	126	0	0	0	0	1385	0	0	0	0
apro	Plants	Auxenochlorella protothecoides	7189	120	0	0	0	0	1827	0	0	0	0
aprs	Bacteria	Acidihalobacter prosperus	3428	112	0	0	0	0	1100	0	0	0	0
vgo	Bacteria	Variibacter gotjawalensis	4493	121	0	0	0	0	1351	0	0	0	0
vga	Bacteria	Vibrio gazogenes	4314	117	0	0	0	0	1390	0	0	0	0
camz	Bacteria	Campylobacter sp. RM12175	1685	90	0	0	0	0	684	0	0	0	0
camy	Bacteria	Campylobacter sp. RM6137	1672	94	0	0	0	0	669	0	0	0	0
lpz	Bacteria	Lactobacillus plantarum 16	3171	103	0	0	0	0	916	0	0	0	0
lpx	Bacteria	Lactobacillus paraplantarum	2902	102	0	0	0	0	913	0	0	0	0
lpw	Bacteria	Lactobacillus paragasseri	1917	90	0	0	0	0	553	0	0	0	0
lpv	Bacteria	Limnobaculum parvum	3241	106	0	0	0	0	1087	0	0	0	0
lpu	Bacteria	Legionella pneumophila subsp. pneumophila LPE509	3383	109	0	0	0	0	922	0	0	0	0
lpt	Bacteria	Lactobacillus plantarum ZJ316	3352	102	0	0	0	0	938	0	0	0	0
lps	Bacteria	Lactobacillus plantarum subsp. plantarum ST-III	3182	101	0	0	0	0	949	0	0	0	0
lpr	Bacteria	Lactobacillus plantarum subsp. plantarum P-8	3262	100	0	0	0	0	911	0	0	0	0
lpq	Bacteria	Lactobacillus paracasei N1115	3126	99	0	0	0	0	862	0	0	0	0
lpp	Bacteria	Legionella pneumophila Paris (serogroup 1)	3278	109	0	0	0	0	908	0	0	0	0
lpo	Bacteria	Legionella pneumophila subsp. pneumophila Lorraine (serogroup 1)	3327	106	0	0	0	0	907	0	0	0	0
lpn	Bacteria	Legionella pneumophila subsp. pneumophila Philadelphia 1 (serogroup 1)	3003	109	0	0	0	0	900	0	0	0	0
lpm	Bacteria	Legionella pneumophila subsp. pneumophila Thunder Bay	3043	109	0	0	0	0	905	0	0	0	0
lpl	Bacteria	Lactobacillus plantarum WCFS1	3174	103	0	0	0	0	979	0	0	0	0
lpk	Bacteria	Lactococcus piscium	2500	100	0	0	0	0	841	0	0	0	0
lpj	Bacteria	Lactobacillus plantarum JDM1	3029	103	0	0	0	0	971	0	0	0	0
lpi	Bacteria	Lactobacillus paracasei subsp. paracasei 8700:2	2890	100	0	0	0	0	914	0	0	0	0
lph	Bacteria	Legionella pneumophila subsp. pneumophila HL06041035 (serogroup 1)	3184	108	0	0	0	0	905	0	0	0	0
lpg	Bacteria	Lactobacillus pentosus	3352	97	0	0	0	0	863	0	0	0	0
lpf	Bacteria	Legionella pneumophila Lens (serogroup 1)	3058	109	0	0	0	0	892	0	0	0	0
lpe	Bacteria	Legionella pneumophila subsp. pneumophila ATCC 43290 (serogroup 12)	2997	109	0	0	0	0	889	0	0	0	0
lpd	Bacteria	Lactobacillus paracollinoides	3307	104	0	0	0	0	921	0	0	0	0
lpc	Bacteria	Legionella pneumophila Corby	3257	109	0	0	0	0	908	0	0	0	0
lpb	Bacteria	Lactobacillus plantarum B21	3095	104	0	0	0	0	968	0	0	0	0
lpa	Bacteria	Legionella pneumophila 2300/99 Alcoy (serogroup 1)	3244	110	0	0	0	0	919	0	0	0	0
cmik	Bacteria	Candidatus Mikella endobia	331	42	0	0	0	0	211	0	0	0	0
cmin	Bacteria	Corynebacterium minutissimum	2528	99	0	0	0	0	760	0	0	0	0
pnc	Bacteria	Pseudomonas aeruginosa NCGM2.S1	6358	121	0	0	0	0	1919	0	0	0	0
cmiu	Bacteria	Christensenella minuta	2881	99	0	0	0	0	862	0	0	0	0
ment	Bacteria	Mesoplasma entomophilum	756	55	0	0	0	0	296	0	0	0	0
ztr	Fungi	Zymoseptoria tritici	10963	121	0	0	0	0	2033	0	0	0	0
yfr	Bacteria	Yersinia frederiksenii	4192	116	0	0	0	0	1561	0	0	0	0
saus	Bacteria	Staphylococcus aureus subsp. aureus SA40 (CA-MRSA)	2550	105	0	0	0	0	956	0	0	0	0
saur	Bacteria	Staphylococcus aureus Bmb9393 (MRSA)	2791	106	0	0	0	0	915	0	0	0	0
sauq	Bacteria	Staphylococcus aureus subsp. aureus ST228/16035 (MRSA)	2060	105	0	0	0	0	855	0	0	0	0
sauw	Bacteria	Staphylococcus aureus subsp. aureus ST228/16125 (MRSA)	2059	105	0	0	0	0	848	0	0	0	0
sauv	Bacteria	Staphylococcus aureus subsp. aureus ST228/18412 (MRSA)	2052	105	0	0	0	0	851	0	0	0	0
sauu	Bacteria	Staphylococcus aureus subsp. aureus SA957 (CA-MRSA)	2633	105	0	0	0	0	959	0	0	0	0
saut	Bacteria	Staphylococcus aureus subsp. aureus ST228/10388 (MRSA)	2059	105	0	0	0	0	855	0	0	0	0
sauz	Bacteria	Staphylococcus aureus subsp. aureus Z172 (MRSA/VISA)	2948	106	0	0	0	0	986	0	0	0	0
sauy	Bacteria	Staphylococcus aureus subsp. aureus ST228/18583 (MRSA)	2050	105	0	0	0	0	850	0	0	0	0
saux	Bacteria	Staphylococcus aureus subsp. aureus ST228/18341 (MRSA)	2055	105	0	0	0	0	851	0	0	0	0
sauc	Bacteria	Staphylococcus aureus CA-347 (MRSA)	2801	106	0	0	0	0	982	0	0	0	0
saub	Bacteria	Staphylococcus aureus 08BA02176 (LA-MRSA)	2779	106	0	0	0	0	956	0	0	0	0
saua	Bacteria	Staphylococcus aureus subsp. aureus 55/2053	2639	106	0	0	0	0	945	0	0	0	0
saug	Bacteria	Staphylococcus aureus subsp. aureus SA268 (CA-MRSA)	2732	106	0	0	0	0	968	0	0	0	0
sauf	Bacteria	Staphylococcus aureus subsp. aureus FDAARGOS_5	2921	106	0	0	0	0	967	0	0	0	0
saue	Bacteria	Staphylococcus aureus subsp. aureus 6850 (MSSA)	2545	106	0	0	0	0	957	0	0	0	0
saud	Bacteria	Staphylococcus aureus 502A	2592	106	0	0	0	0	965	0	0	0	0
sauk	Bacteria	Staphylococcus aureus subsp. aureus ST228/15532 (MRSA)	2059	105	0	0	0	0	856	0	0	0	0
sauj	Bacteria	Staphylococcus aureus subsp. aureus ST228/10497 (MRSA)	2060	105	0	0	0	0	856	0	0	0	0
saui	Bacteria	Staphylococcus aureus USA300-ISMMS1 (MRSA)	2867	106	0	0	0	0	997	0	0	0	0
sauo	Bacteria	Streptomyces autolyticus	8253	132	0	0	0	0	1790	0	0	0	0
saun	Bacteria	Staphylococcus aureus subsp. aureus CN1 (CA-MRSA)	2794	106	0	0	0	0	970	0	0	0	0
saum	Bacteria	Staphylococcus aureus M1 (MRSA)	2788	105	0	0	0	0	965	0	0	0	0
pade	Bacteria	Candidatus Pseudomonas adelgestsugas (Adelges tsugae)	1017	91	0	0	0	0	517	0	0	0	0
blep	Bacteria	Beggiatoa leptomitiformis	3631	112	0	0	0	0	996	0	0	0	0
clec	Animals	Cimex lectularius (bed bug)	13246	136	0	0	0	0	2853	0	0	0	0
smp	Fungi	Sordaria macrospora	9903	119	0	0	0	0	1962	0	0	0	0
xva	Bacteria	Xanthomonas vasicola	4468	124	0	0	0	0	1227	0	0	0	0
xve	Bacteria	Xanthomonas vesicatoria	4719	123	0	0	0	0	1287	0	0	0	0
cuv	Bacteria	Corynebacterium ureicelerivorans	2011	96	0	0	0	0	658	0	0	0	0
rgu	Bacteria	Rhizobacter gummiphilus	5846	125	0	0	0	0	1655	0	0	0	0
sscu	Bacteria	Staphylococcus sciuri	2811	102	0	0	0	0	1035	0	0	0	0
gxl	Bacteria	Komagataeibacter xylinus	3745	109	0	0	0	0	1096	0	0	0	0
prf	Bacteria	Candidatus Peribacter riflensis	1148	66	0	0	0	0	302	0	0	0	0
gxy	Bacteria	Komagataeibacter medellinensis	3270	110	0	0	0	0	974	0	0	0	0
frc	Bacteria	Francisella sp. CA97-1460	1864	106	0	0	0	0	651	0	0	0	0
fra	Bacteria	Frankia casuarinae	4607	118	0	0	0	0	1034	0	0	0	0
frf	Bacteria	Francisella sp. FSC1006	1966	99	0	0	0	0	624	0	0	0	0
fre	Bacteria	Frankia sp. EAN1pec	7377	126	0	0	0	0	1241	0	0	0	0
fri	Bacteria	Frankia sp. EuI1c	7263	126	0	0	0	0	1300	0	0	0	0
fro	Bacteria	Faecalibaculum rodentium	2887	97	0	0	0	0	657	0	0	0	0
frm	Bacteria	Francisella sp. MA067296	1791	99	0	0	0	0	600	0	0	0	0
anl	Bacteria	Anoxybacillus sp. B7M1	3867	107	0	0	0	0	1236	0	0	0	0
frp	Bacteria	Frondihabitans sp. PAMC 28766	4543	117	0	0	0	0	979	0	0	0	0
frt	Bacteria	Francisella sp. TX077308	2022	104	0	0	0	0	712	0	0	0	0
frx	Bacteria	Francisella sp. TX077310	2062	102	0	0	0	0	705	0	0	0	0
rge	Bacteria	Rubrivivax gelatinosus	4768	120	0	0	0	0	1552	0	0	0	0
spir	Bacteria	Spirosoma pollinicola	7584	119	0	0	0	0	1091	0	0	0	0
spis	Animals	Stylophora pistillata	26855	128	0	0	0	0	3783	0	0	0	0
prn	Bacteria	Polaribacter reichenbachii	3519	115	0	0	0	0	823	0	0	0	0
suam	Bacteria	Sulfitobacter sp. AM1-D1	4518	121	0	0	0	0	1492	0	0	0	0
spiu	Bacteria	Spiribacter sp. UAH-SP71	1912	98	0	0	0	0	825	0	0	0	0
anh	Bacteria	Altererythrobacter namhicola	2563	112	0	0	0	0	807	0	0	0	0
prh	Bacteria	Pseudomonas rhizosphaerae	4165	118	0	0	0	0	1500	0	0	0	0
bcig	Bacteria	Candidatus Baumannia cicadellinicola B-GSS	602	65	0	0	0	0	353	0	0	0	0
bcib	Bacteria	Candidatus Baumannia cicadellinicola BGSS	743	77	0	0	0	0	484	0	0	0	0
cun	Bacteria	Corynebacterium ulcerans 210932	2344	103	0	0	0	0	784	0	0	0	0
ant	Bacteria	Arcobacter nitrofigilis	3220	110	0	0	0	0	1078	0	0	0	0
ssch	Bacteria	Staphylococcus schleiferi 1360-13	2258	100	0	0	0	0	918	0	0	0	0
cuj	Bacteria	Corynebacterium ulcerans 131002	2241	103	0	0	0	0	784	0	0	0	0
drs	Bacteria	Dehalobacter restrictus	2931	99	0	0	0	0	787	0	0	0	0
dhk	Bacteria	Delftia sp. HK171	5653	125	0	0	0	0	1663	0	0	0	0
dhe	Animals	Drosophila hydei	13589	136	0	0	0	0	3025	0	0	0	0
dhd	Bacteria	Desulfitobacterium hafniense DCB-2	5049	106	0	0	0	0	1184	0	0	0	0
dha	Fungi	Debaryomyces hansenii	6522	121	0	0	0	0	2102	0	0	0	0
dhy	Bacteria	Desulfovibrio hydrothermalis	3653	104	0	0	0	0	1083	0	0	0	0
amyt	Bacteria	Arcobacter mytili	2987	105	0	0	0	0	897	0	0	0	0
amyc	Bacteria	Amycolatopsis sp. AA4	8543	134	0	0	0	0	1697	0	0	0	0
amyb	Bacteria	Amycolatopsis sp. BJA-103	8460	132	0	0	0	0	1584	0	0	0	0
hah	Archaea	Halophilic archaeon DL31	3788	101	0	0	0	0	863	0	0	0	0
hai	Animals	Hipposideros armiger (great roundleaf bat)	21631	329	0	0	0	0	7543	0	0	0	0
haj	Archaea	Haloplanus sp. CBA1113	3592	104	0	0	0	0	868	0	0	0	0
hak	Bacteria	Halomonas sp. KO116	4927	121	0	0	0	0	1516	0	0	0	0
hal	Archaea	Halobacterium salinarum NRC-1	2866	96	0	0	0	308	732	0	0	0	209
ham	Bacteria	Halomonas sp. R57-5	4677	120	0	0	0	0	1616	0	0	0	0
han	Plants	Helianthus annuus (common sunflower)	78020	137	0	0	0	2836	7954	0	0	0	4035
hao	Bacteria	Halothece sp. PCC 7418	3920	105	0	0	0	0	1018	0	0	0	0
haa	Bacteria	Halotalea alkalilenta	3929	122	0	0	0	0	1519	0	0	0	0
hab	Archaea	Haloarcula sp. CBA1115	4116	104	0	0	0	0	983	0	0	0	0
hac	Bacteria	Helicobacter acinonychis	1660	93	0	0	0	0	631	0	0	0	0
had	Bacteria	Helicobacter apodemus	2003	100	0	0	0	0	709	0	0	0	0
hae	Archaea	Halohasta litchfieldiae	3520	103	0	0	0	0	801	0	0	0	0
haf	Bacteria	Halomonas sp. SF2003	3598	114	0	0	0	0	1332	0	0	0	0
hag	Bacteria	Halomonas sp. GFAJ-1	3307	110	0	0	0	0	1241	0	0	0	0
hax	Bacteria	Halobacteriovorax sp. BALOs_7	3041	108	0	0	0	0	702	0	0	0	0
hay	Bacteria	Haemophilus sp. oral taxon 036	1726	91	0	0	0	0	692	0	0	0	0
haz	Bacteria	Halothiobacillus sp. LS2	2599	109	0	0	0	0	904	0	0	0	0
bnm	Bacteria	Bifidobacterium animalis subsp. lactis CNCM I-2494	1724	94	0	0	0	0	591	0	0	0	0
bnc	Bacteria	Bacillus cereus NC7401	5907	113	0	0	0	0	1439	0	0	0	0
haq	Archaea	Haloplanus sp. CBA1112	3844	103	0	0	0	0	864	0	0	0	0
har	Bacteria	Herminiimonas arsenicoxydans	3352	114	0	0	0	0	1076	0	0	0	0
has	Bacteria	Halanaerobium hydrogeniformans	2464	99	0	0	0	0	835	0	0	0	0
hat	Bacteria	Halocynthiibacter arcticus	4292	118	0	0	0	0	1282	0	0	0	0
hau	Bacteria	Herpetosiphon aurantiacus	5363	117	0	0	0	0	1078	0	0	0	0
bne	Bacteria	Brevundimonas naejangsanensis	2829	115	0	0	0	0	945	0	0	0	0
haw	Animals	Helicoverpa armigera (cotton bollworm)	14560	138	0	0	0	0	3098	0	0	0	0
ola	Animals	Oryzias latipes (Japanese medaka)	25834	167	0	0	0	6197	6497	0	0	0	8824
oll	Bacteria	Olleya sp. Bg11-27	3863	108	0	0	0	0	758	0	0	0	0
olo	Bacteria	Olsenella sp. oral taxon 807	2767	91	0	0	0	0	644	0	0	0	0
ols	Bacteria	Olsenella uli	1841	97	0	0	0	0	638	0	0	0	0
olu	Plants	Ostreococcus lucimarinus	7603	114	0	0	0	0	1589	0	0	0	0
for	Bacteria	Formosa sp. Hel1_33_131	2675	102	0	0	0	0	649	0	0	0	0
umr	Animals	Ursus maritimus (polar bear)	23407	329	0	0	0	0	8224	0	0	0	0
fox	Fungi	Fusarium oxysporum	21046	123	0	0	0	0	2649	0	0	0	0
uma	Fungi	Ustilago maydis	6798	118	0	0	0	0	1651	0	0	0	0
foh	Bacteria	Formosa sp. Hel3_A1_48	1913	101	0	0	0	0	619	0	0	0	0
acom	Bacteria	Azoarcus communis	4182	120	0	0	0	0	1375	0	0	0	0
mbl	Bacteria	Moraxella bovoculi	2112	102	0	0	0	0	744	0	0	0	0
mbm	Bacteria	Mycobacterium tuberculosis variant bovis BCG Mexico	4031	126	0	0	0	0	1109	0	0	0	0
soc	Animals	Solenopsis invicta (red fire ant)	16161	136	0	0	0	0	2966	0	0	0	0
mbo	Bacteria	Mycobacterium tuberculosis variant bovis AF2122/97	4043	125	0	0	0	0	1097	0	0	0	0
soe	Plants	Spinacia oleracea (spinach)	30104	137	0	0	0	0	4530	0	0	0	0
mbi	Bacteria	Mycoplasma bovis HB0801	849	54	0	0	0	0	292	0	0	0	0
mbj	Bacteria	Candidatus Izimaplasma sp. HR1	1857	85	0	0	0	0	541	0	0	0	0
mbk	Bacteria	Mycobacterium tuberculosis variant bovis BCG Korea 1168P	4189	126	0	0	0	0	1119	0	0	0	0
soi	Bacteria	Streptococcus cristatus	2131	95	0	0	0	0	687	0	0	0	0
mbe	Fungi	Marssonina brunnea	10027	120	0	0	0	0	1959	0	0	0	0
mbf	Bacteria	Candidatus Melainabacteria bacterium MEL.A1	1838	85	0	0	0	0	511	0	0	0	0
mbg	Archaea	Methanoculleus bourgensis	2628	88	0	0	0	0	726	0	0	0	0
sol	Archaea	Saccharolobus solfataricus 98/2	2956	98	0	0	0	0	723	0	0	0	0
mbb	Bacteria	Mycobacterium tuberculosis variant bovis BCG Pasteur 1173P2	4040	126	0	0	0	0	1117	0	0	0	0
mbc	Bacteria	Mycoplasma bovoculi	626	46	0	0	0	0	256	0	0	0	0
sor	Bacteria	Streptococcus oralis	1991	94	0	0	0	0	695	0	0	0	0
mbx	Bacteria	Mycobacterium tuberculosis variant bovis BCG ATCC 35743	4083	125	0	0	0	0	1045	0	0	0	0
mby	Archaea	Methanosarcina barkeri MS	3585	97	0	0	0	0	926	0	0	0	0
mbt	Bacteria	Mycobacterium tuberculosis variant bovis BCG Tokyo 172	4035	126	0	0	0	0	1119	0	0	0	0
mbu	Archaea	Methanococcoides burtonii	2500	87	0	0	0	0	685	0	0	0	0
mbv	Bacteria	Mycoplasma bovis PG45	868	54	0	0	0	0	290	0	0	0	0
mbw	Archaea	Methanosarcina barkeri Wiesmoor	3815	96	0	0	0	0	933	0	0	0	0
mbp	Bacteria	Maize bushy stunt phytoplasma	544	40	0	0	0	0	207	0	0	0	0
mbq	Bacteria	Mycoplasma bovis CQ-W70	816	54	0	0	0	0	268	0	0	0	0
mbr	Protists	Monosiga brevicollis	9171	110	0	0	0	0	1391	0	0	0	0
mbs	Bacteria	Marinobacter sp. BSs20148	3944	118	0	0	0	0	1336	0	0	0	0
cpeo	Bacteria	Chlamydia pecorum PV3056/3	968	72	0	0	0	0	423	0	0	0	0
cpel	Bacteria	Campylobacter peloridis	1719	89	0	0	0	0	695	0	0	0	0
cpeg	Bacteria	Corynebacterium pelargi	2222	104	0	0	0	0	751	0	0	0	0
cpec	Bacteria	Chlamydia pecorum P787	969	72	0	0	0	0	424	0	0	0	0
cper	Bacteria	Chlamydia pecorum W73	969	72	0	0	0	0	424	0	0	0	0
cpep	Plants	Cucurbita pepo subsp. pepo (vegetable marrow)	31738	137	0	0	0	0	6653	0	0	0	0
azi	Bacteria	Azoarcus sp. CIB	4808	117	0	0	0	0	1466	0	0	0	0
azl	Bacteria	Azospirillum sp. B510	6417	124	0	0	0	0	1869	0	0	0	0
azm	Bacteria	Azospirillum sp. M2T2B2	5589	121	0	0	0	0	1650	0	0	0	0
azo	Bacteria	Azoarcus sp. BH72	4054	122	0	0	0	0	1385	0	0	0	0
aza	Bacteria	Azoarcus sp. KH32C	5267	117	0	0	0	0	1681	0	0	0	0
